excuse|原谅
me|我(宾格,动词后)
yes|是的
is|动词现在时第三人称单数
this|这   
your|你的;你们的
handbag|(女用)手提包
pardon|原谅;请再说一遍
it|它
thank you|感谢你(们)|
very much|非常地
pen|钢笔
pencil|铅笔
book|书
watch|手表
coat|上衣;外套
dress|连衣裙
skirt|裙子
shirt|衬衫
car|小汽车
house|房子
umbrella|伞
please|请
here|这里
my|我的
ticket|票
number|号码
five|五
sorry|对不起
sir|(陌生/上级/长辈)先生
cloakroom|衣帽存放处
suit|西装
school|学校
teacher|老师
son|儿子
daughter|女儿
Mr|(熟悉的)先生
good|好
morning|早晨
miss|小姐;想念;错过
new|新的
student|学生
French|法国人;法国的
German|德国人;德国的
nice|美好的;漂亮的(人,事物)
meet|遇见
Japanese|日本人;日本的
Korean|韩国人;韩国的
chinese|中国人;中国的
too|也
make|(产品的)牌号;做
Swedish|瑞典的;瑞典人
English|英国的;英国人
American|美国的;美国人
Italian|意大利的;意大利人
I|我(主格,动词前)
am|动词现在时第一人称单数
are|动词现在时复数
name|名字
what|什么
nationality|国籍
job|工作(可数)
keyboard|电脑键盘
operator|操作人员
engineer|工程师
policeman|警察
policewoman|女警察
taxi driver|出租车司机
air hostess|空中小姐
postman|邮递员
nurse|护士
mechanic|机械师
hairdresser|理发师
housewife|家庭妇女
milkman|送牛奶的人
hello|喂(表示问候)
hi|喂;嗨
how|怎样
today|今天
well|身体好
fine|美好的(天气,身体)
thanks|谢谢
goodbye|再见
see|见
fat|胖的
woman|女人
thin|瘦的
tall|高的
short|矮的
dirty|脏的
clean|干净的
hot|热的
cold|冷的;感冒
old|老的
young|年轻的
busy|忙的
lazy|懒的
Whose|谁的
blue|蓝色的
perhaps|大概
white|白色的
catch|抓住;赶上
father|父亲
mother|母亲
blouse|女式衬衫
sister|姐,妹
tie|领带
brother|兄,弟
his|他的
her|她的
color|颜色
green|绿色
come|来
upstairs|楼上
smart|时髦的;聪明的
hat|帽子
same|相同的
lovely|可爱的;秀丽的
black|黑色
grey|灰色
brown|棕色
carpet|地毯
red|红色
yellow|黄色
orange|橙色;橙子
dog|狗
case|箱子;实例;情况;案件
customs|海关
officer|官员
girl|女孩;姑娘
Danish|丹麦人
friend|朋友
Norwegian|挪威人
passport|护照
tourist|旅游者
Russian|俄罗斯人
Dutch|荷兰人
these|这些(this的复数)
employee|雇员
